RouteID,Url,Type,TypeZh,RouteName
B29,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1229&locale=zh_TW,Blue,藍,藍29
Orange,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1400&locale=zh_TW,Orange,橘,橘幹線
Brown,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1300&locale=zh_TW,Brown,棕,棕幹線
BR1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1301&locale=zh_TW,Brown,棕,棕1
BR2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1302&locale=zh_TW,Brown,棕,棕2
BR3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1303&locale=zh_TW,Brown,棕,棕3
BR3-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1810&locale=zh_TW,Brown,棕,棕3-1
BR4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1304&locale=zh_TW,Brown,棕,棕4
BR5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1305&locale=zh_TW,Brown,棕,棕5
BR6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1306&locale=zh_TW,Brown,棕,棕6
BR10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1310&locale=zh_TW,Brown,棕,棕10
BR11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1311&locale=zh_TW,Brown,棕,棕11
O1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1401&locale=zh_TW,Orange,橘,橘1
O2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1402&locale=zh_TW,Orange,橘,橘2
O3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1403&locale=zh_TW,Orange,橘,橘3
O4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1404&locale=zh_TW,Orange,橘,橘4
O4-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1808&locale=zh_TW,Orange,橘,橘4-1
O5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1405&locale=zh_TW,Orange,橘,橘5
O6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1406&locale=zh_TW,Orange,橘,橘6
O9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1409&locale=zh_TW,Orange,橘,橘9
O9-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1816&locale=zh_TW,Orange,橘,橘9-1
O10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1410&locale=zh_TW,Orange,橘,橘10
O10-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1807&locale=zh_TW,Orange,橘,橘10-1
O11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1411&locale=zh_TW,Orange,橘,橘11
O11-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1814&locale=zh_TW,Orange,橘,橘11-1
O12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1412&locale=zh_TW,Orange,橘,橘12
O13,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1413&locale=zh_TW,Orange,橘,橘13
O14,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1414&locale=zh_TW,Orange,橘,橘14
O20,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1420&locale=zh_TW,Orange,橘,橘20
O21,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1421&locale=zh_TW,Orange,橘,橘21
Yellow,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1500&locale=zh_TW,Yellow,黃,黃幹線
Y1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1501&locale=zh_TW,Yellow,黃,黃1
Y2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1502&locale=zh_TW,Yellow,黃,黃2
Y3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1503&locale=zh_TW,Yellow,黃,黃3
Y4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1504&locale=zh_TW,Yellow,黃,黃4
Y5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1505&locale=zh_TW,Yellow,黃,黃5
Y6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1506&locale=zh_TW,Yellow,黃,黃6
Y7,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1507&locale=zh_TW,Yellow,黃,黃7
Y9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1509&locale=zh_TW,Yellow,黃,黃9
Y10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1510&locale=zh_TW,Yellow,黃,黃10
Y11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1511&locale=zh_TW,Yellow,黃,黃11
Y12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1512&locale=zh_TW,Yellow,黃,黃12
