StationID,BikesCapacity,StationName,StationAddress,PositionLon,PositionLat,GeoHash
501321031,22,榮譽街停車場(崇明路308巷口),崇明路304號西南側,120.21982,22.97737,wsj6xwvku
501323001,20,水萍塭公園(夏林路),夏林路1-7號(對側人行道),120.19475,22.98615,wsj6z0e0h
501323002,30,臺南高商,南門路/健康路一段口(西南側),120.20353,22.98066,wsj6xr981
501323003,21,忠烈祠,健康路一段48號(對側人行道),120.21054,22.98117,wsj6xrweh
501323004,20,日新國小,金華路一段476號(對側人行道),120.19054,22.97271,wsj6xn01d
501323005,20,鹽埕圖書館,新和東路51號(對側人行道),120.18786,22.96742,wsj6wvn4u
501323006,20,南區區公所(公兒26公園),中華南路二段251號旁,120.18743,22.96154,wsj6wujbd
501323007,21,新興國小,夏林路248號(對側人行道),120.1953,22.9786,wsj6xp5s1
501323008,20,黃金海岸,黃金海岸遊客中心(南側廣場),120.17631,22.93058,wsj6qwmsq
501323009,20,萬年公園,灣裡路與灣裡路61巷(萬年公園侯車亭旁),120.18056,22.93306,wsj6qybff
501323010,17,水萍塭公園(金華路),金華路二段381號東側,120.19201,22.98633,wsj6z091h
501323012,20,瀨口公園,中華西路一段438號(對側人行道),120.18636,22.9854,wsj6ybm59
501323013,20,健康綠洲公園,仁南街/仁南一街口,120.18433,22.98286,wsj6wzgsc
501323014,20,興昌水交社,興昌路/水交社路口(北側),120.20046,22.97682,wsj6xnz39
501323015,16,水交社文創園區,水交社一街/興中街63巷口(西南側),120.20157,22.978180000000002,wsj6xr01e
501323016,13,西門健康停車場,西門路一段469號,120.19737,22.98155,wsj6xptj1
501323017,15,文華公園,永華路一段275號,120.18956,22.98852,wsj6ybzmg
501323018,18,亞洲餐旅,大成路一段5號,120.20288,22.97497,wsj6xq3nf
501323019,21,南寧高中,萬年路165號前,120.18588,22.93491,wsj6qzhtt
501327002,18,麻豆區衛生所,興國路11-1號南側,120.2482,23.18229,wsjebk4nd
501328001,20,南科台積電(十四A),南科北路/南科八路口(西北側),120.27483,23.1145,wsje2zv7w
501328002,20,霞客湖,南科七路/三抱竹路口(東南側),120.26996,23.10799,wsje2y9vv
501328003,20,南科健康生活館,環東路二段20號前,120.28186,23.11406,wsje3pf94
501328004,20,善化車站,中山路20號前,120.30599,23.13364,wsje9ek5h
501328005,20,善化高中,大成路160號對側,120.30167,23.13015,wsje9d9nb
501328006,20,南科車站,臺鐵南科站(西出口西拉雅大橋下),120.30206,23.10788,wsje3w9m1
501329001,20,新化武德殿,和平街53號前,120.30926,23.03355,wsje19ns0
501329003,15,新化體育公園,公園路110號,120.30652,23.02954,wsje18ksc
501329004,20,新化國中,民生路43號東側,120.31153,23.03562,wsje1c80j
501329006,20,大智路豐榮洋子(活動中心),新化區豐榮里洋子164號,120.29797,23.03371,wsje13nm1
501330001,20,南科管理局,南科三路17號前,120.28203,23.09865,wsje3hfxq
501330002,20,新市車站,中華路1號(東北側),120.2902169,23.06834369,wsje1r2wv
501330003,18,臺灣史前博物館(南科考古館),南科三路10號(北側停車場前),120.28391,23.10189,wsje3js46
501330004,22,南科社區中心,大順三路125號前,120.28843,23.10225,wsje3jxk7
501330005,17,新市區公所,中興街12號,120.29502,23.07883,wsje33k5v
501331001,22,新營美術園區,公園路一段/中華路口,120.30632,23.30503,wsjs9ds3s
501331002,28,新營高中,民權路101號(南側),120.31223,23.3079,wsjs9g0dq
501331004,34,新營車站,中山路1號(東南側),120.32277,23.30647,wsjsd4b65
501331005,15,天鵝湖公園,中正路556-1號(停車場入口旁),120.31718,23.33157,wsjs9zkk1
501331006,30,臺南市政府(民治中心),民治路36號前,120.3146244,23.3110517,wsjs9gdkt
501331007,20,新營轉運站,新運二路/新運五路(東北側),120.28218,23.31069,wsjs95df9
501331008,20,南新國中,民治路150號(對側人行道),120.30762,23.30933,wsjs9em6d
501331010,18,衛生局(東興辦公室),東興路163號,120.32299,23.31511,wsjsdh2s2
501331012,20,新營體育場第二停車場,長榮路二段/健康路口,120.31187,23.31984,wsjs9v0rv
501335001,18,大臺南會展中心,歸仁十二路3號北側,120.28535,22.92226,wsjd3hv5g
501335002,20,陽明交通大學(臺南校區),高發三路(北向人行道),120.2945475,22.9247914,wsjd3m7fd
501335003,20,歸仁區公所(中正北路),中正北路一段11號旁,120.2946344,22.9672983,wsjd9m5fh
