RouteID,Url,Type
BR4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1304&locale=zh_TW,Brown
BR5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1305&locale=zh_TW,Brown
BR6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1306&locale=zh_TW,Brown
BR10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1310&locale=zh_TW,Brown
BR11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1311&locale=zh_TW,Brown
O1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1401&locale=zh_TW,Orange
O2,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1402&locale=zh_TW,Orange
O3,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1403&locale=zh_TW,Orange
O4,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1404&locale=zh_TW,Orange
O4-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1808&locale=zh_TW,Orange
O5,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1405&locale=zh_TW,Orange
O6,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1406&locale=zh_TW,Orange
O9,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1409&locale=zh_TW,Orange
O9-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1816&locale=zh_TW,Orange
O10,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1410&locale=zh_TW,Orange
O10-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1807&locale=zh_TW,Orange
O11,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1411&locale=zh_TW,Orange
O11-1,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1814&locale=zh_TW,Orange
O12,https://busmap.tainan.gov.tw/ebus/pathInfo.jsp?pathId=1412&locale=zh_TW,Orange
